InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority,TotalCost,Revenue,TotalSales,Day,Month
203355,SKU_1326,USB Cable,33,2020-01-02 2:00,97.96,38576,Italy,0.23,Bank Transfer,7.25,Stationery,Online,Not Returned,Royal Mail,Paris,High,2496.4136,2489.1636,3232.68,Thursday,January
335796,SKU_1473,Wall Clock,22,2020-01-02 3:00,28.73,60532,Netherlands,0.25,Credit Card,8.44,Apparel,Online,Not Returned,FedEx,Rome,Medium,482.485,474.045,632.06,Thursday,January
314176,SKU_1887,Office Chair,10,2020-01-02 4:00,86.71,47802,Australia,0.36,Credit Card,16.86,Furniture,Online,Not Returned,DHL,Amsterdam,Low,571.804,554.944,867.1,Thursday,January
284779,SKU_1938,USB Cable,11,2020-01-02 5:00,90.69,98066,United States,0.39,Credit Card,25.31,Furniture,Online,Not Returned,DHL,Amsterdam,Medium,633.8399,608.5299,997.59,Thursday,January
447449,SKU_1367,White Mug,15,2020-01-02 6:00,40.36,83531,Portugal,0.03,Credit Card,6.14,Stationery,In-store,Not Returned,Royal Mail,Rome,High,593.378,587.238,605.4,Thursday,January
521909,SKU_1286,White Mug,48,2020-01-02 7:00,8.39,59307,Netherlands,0.08,Bank Transfer,15.29,Electronics,In-store,Not Returned,Royal Mail,Amsterdam,Medium,385.7924,370.5024,402.72,Thursday,January
358795,SKU_1023,Headphones,30,2020-01-02 8:00,99.31,61358,United Kingdom,0.31,Credit Card,22.31,Accessories,Online,Not Returned,Royal Mail,Berlin,Medium,2078.027,2055.717,2979.3,Thursday,January
586232,SKU_1722,Wall Clock,14,2020-01-02 9:00,10.32,54696,France,0.01,Credit Card,28.9,Stationery,In-store,Returned,DHL,Rome,Low,171.9352,143.0352,144.48,Thursday,January
600186,SKU_1292,Headphones,32,2020-01-02 10:00,82.94,26741,Netherlands,0.15,Credit Card,28.6,Electronics,Online,Not Returned,UPS,Amsterdam,High,2284.568,2255.968,2654.08,Thursday,January
256730,SKU_1448,T-shirt,26,2020-01-02 11:00,35.39,28203,Australia,0.02,Bank Transfer,21.07,Stationery,In-store,Not Returned,DHL,Rome,Medium,922.8072,901.7372,920.14,Thursday,January
970910,SKU_1984,Backpack,21,2020-01-02 12:00,61.34,87631,Belgium,0.24,Bank Transfer,9.39,Furniture,In-store,Not Returned,DHL,London,Low,988.3764,978.9864,1288.14,Thursday,January
484681,SKU_1062,Desk Lamp,5,2020-01-02 13:00,30.77,41311,Spain,0.31,paypall,15.27,Stationery,In-store,Not Returned,DHL,Amsterdam,Low,121.4265,106.1565,153.85,Thursday,January
249503,SKU_1567,Wireless Mouse,47,2020-01-02 14:00,38.11,52219,France,0.27,paypall,25.15,Stationery,In-store,Not Returned,UPS,Paris,Medium,1332.7041,1307.5541,1791.17,Thursday,January
754811,SKU_1457,T-shirt,12,2020-01-02 15:00,29.06,30037,Portugal,0.15,paypall,12.84,Stationery,Online,Not Returned,UPS,London,Low,309.252,296.412,348.72,Thursday,January
627035,SKU_1529,Notebook,29,2020-01-02 16:00,21.32,40568,Spain,0.16,Credit Card,10.88,Furniture,In-store,Not Returned,UPS,Paris,Low,530.2352,519.3552,618.28,Thursday,January
748143,SKU_1873,Blue Pen,21,2020-01-02 17:00,36.85,89341,Australia,0.15,paypall,28.34,Electronics,In-store,Not Returned,UPS,Berlin,Low,686.1125,657.7725,773.85,Thursday,January
552366,SKU_1960,Backpack,25,2020-01-02 18:00,86.68,69201,Australia,0.02,Bank Transfer,23.35,Accessories,In-store,Not Returned,Royal Mail,Berlin,Medium,2147.01,2123.66,2167,Thursday,January
165725,SKU_1412,USB Cable,16,2020-01-02 19:00,9.08,46393,France,0.04,Bank Transfer,18.69,Apparel,In-store,Not Returned,Royal Mail,Rome,Low,158.1588,139.4688,145.28,Thursday,January
229981,SKU_1588,Desk Lamp,31,2020-01-02 20:00,2.1,47167,Norway,0.29,Bank Transfer,16.04,Furniture,Online,Not Returned,UPS,Amsterdam,Low,62.261,46.221,65.1,Thursday,January
184654,SKU_1259,Wall Clock,20,2020-01-02 21:00,24.36,73680,Norway,0.07,Bank Transfer,18.99,Apparel,In-store,Not Returned,FedEx,London,High,472.086,453.096,487.2,Thursday,January
691723,SKU_1632,Wireless Mouse,31,2020-01-02 22:00,84.83,57796,Netherlands,0.12,Bank Transfer,23.25,Stationery,In-store,Not Returned,UPS,Paris,High,2337.4124,2314.1624,2629.73,Thursday,January
419030,SKU_1907,Wireless Mouse,11,2020-01-02 23:00,93.1,18741,Australia,0.38,paypall,8.78,Electronics,Online,Not Returned,DHL,Paris,Low,643.722,634.942,1024.1,Thursday,January
428947,SKU_1183,T-shirt,32,2020-01-03 0:00,81.47,85133,Italy,0,Bank Transfer,9.14,Electronics,Online,Not Returned,DHL,Paris,High,2616.18,2607.04,2607.04,Friday,January
655839,SKU_1047,Office Chair,48,2020-01-03 1:00,4.74,Unknown,Belgium,0.22,Credit Card,23.11,Accessories,Online,Not Returned,UPS,London,High,200.5756,177.4656,227.52,Friday,January
373538,SKU_1146,Headphones,8,2020-01-03 2:00,20.35,75852,Belgium,0.1,Credit Card,20.37,Stationery,In-store,Not Returned,UPS,Rome,Low,166.89,146.52,162.8,Friday,January
431236,SKU_1793,Wall Clock,23,2020-01-03 3:00,33.63,25739,France,0.33,Bank Transfer,6.6,Apparel,Online,Not Returned,DHL,Rome,Medium,524.8383,518.2383,773.49,Friday,January
628178,SKU_1875,Backpack,8,2020-01-03 4:00,68.66,79905,Netherlands,0.13,Credit Card,26.31,Stationery,In-store,Not Returned,Royal Mail,London,Low,504.1836,477.8736,549.28,Friday,January
665894,SKU_1805,Headphones,2,2020-01-03 5:00,33.4,59341,Sweden,0.16,Bank Transfer,18.88,Apparel,Online,Not Returned,Royal Mail,Berlin,Low,74.992,56.112,66.8,Friday,January
589492,SKU_1591,T-shirt,27,2020-01-03 6:00,49.95,28756,Italy,0.3,paypall,10.36,Stationery,In-store,Not Returned,DHL,London,Medium,954.415,944.055,1348.65,Friday,January
356840,SKU_1747,Office Chair,36,2020-01-03 7:00,5.04,61799,United Kingdom,0.15,Bank Transfer,27.63,Apparel,In-store,Returned,FedEx,Paris,Low,181.854,154.224,181.44,Friday,January
573254,SKU_1408,Blue Pen,35,2020-01-03 8:00,4.66,32638,Australia,0.27,paypall,19.65,Furniture,In-store,Not Returned,UPS,London,Low,138.713,119.063,163.1,Friday,January
449457,SKU_1439,Desk Lamp,23,2020-01-03 9:00,73.48,80321,Italy,0.37,Bank Transfer,29.57,Stationery,Online,Not Returned,DHL,Amsterdam,High,1094.2952,1064.7252,1690.04,Friday,January
765987,SKU_1457,Blue Pen,41,2020-01-03 10:00,11.4,35294,Germany,0.08,Bank Transfer,12.87,Accessories,Online,Not Returned,UPS,Berlin,High,442.878,430.008,467.4,Friday,January
370936,SKU_1228,Backpack,48,2020-01-03 11:00,28.29,47376,Belgium,0.33,Bank Transfer,16.89,Apparel,Online,Not Returned,DHL,Rome,High,926.6964,909.8064,1357.92,Friday,January
339931,SKU_1283,Office Chair,13,2020-01-03 12:00,1.47,46641,Spain,0.32,paypall,8.53,Stationery,Online,Not Returned,UPS,London,Low,21.5248,12.9948,19.11,Friday,January
339629,SKU_1572,Notebook,31,2020-01-03 13:00,55.33,72552,Italy,0.05,Credit Card,25.13,Furniture,Online,Not Returned,Royal Mail,Paris,Low,1654.5985,1629.4685,1715.23,Friday,January
305041,SKU_1731,Desk Lamp,45,2020-01-03 14:00,54.79,Unknown,United Kingdom,0.23,Credit Card,8.97,Accessories,In-store,Not Returned,DHL,,Medium,1907.4435,1898.4735,2465.55,Friday,January
798361,SKU_1344,Office Chair,30,2020-01-03 15:00,45.18,64580,Netherlands,0.32,Credit Card,13.75,Furniture,Online,Not Returned,UPS,Amsterdam,Medium,935.422,921.672,1355.4,Friday,January
831912,SKU_1600,Wireless Mouse,6,2020-01-03 16:00,78.9,54809,Italy,0.1,Bank Transfer,12.89,Accessories,Online,Not Returned,DHL,Berlin,High,438.95,426.06,473.4,Friday,January
517113,SKU_1946,Notebook,20,2020-01-03 17:00,39,43390,Italy,0.09,paypall,21.67,Electronics,Online,Not Returned,Royal Mail,Berlin,Medium,731.47,709.8,780,Friday,January
168148,SKU_1907,Wireless Mouse,26,2020-01-03 18:00,25.56,59957,United States,0.48,Bank Transfer,10.4,Electronics,In-store,Not Returned,UPS,London,High,355.9712,345.5712,664.56,Friday,January
877089,SKU_1263,Office Chair,36,2020-01-03 19:00,34.13,68005,Italy,0.32,Bank Transfer,20.69,Apparel,Online,Not Returned,FedEx,Paris,Medium,856.1924,835.5024,1228.68,Friday,January
748531,SKU_1739,USB Cable,19,2020-01-03 20:00,69.38,96641,Norway,0.33,paypall,27.74,Furniture,Online,Not Returned,UPS,Amsterdam,Medium,910.9474,883.2074,1318.22,Friday,January
351995,SKU_1377,USB Cable,22,2020-01-03 21:00,94.81,33544,Germany,0.43,Bank Transfer,25.61,Accessories,In-store,Not Returned,UPS,London,Medium,1214.5274,1188.9174,2085.82,Friday,January
778843,SKU_1102,Wall Clock,12,2020-01-03 22:00,70.77,94953,Germany,0.33,Bank Transfer,17,Electronics,In-store,Not Returned,FedEx,Rome,High,585.9908,568.9908,849.24,Friday,January
672843,SKU_1953,Headphones,3,2020-01-03 23:00,99.17,Unknown,United States,0.03,paypall,11.58,Stationery,Online,Not Returned,DHL,London,Medium,300.1647,288.5847,297.51,Friday,January
356508,SKU_1599,T-shirt,5,2020-01-04 0:00,61.05,55140,Spain,0.45,Bank Transfer,8.03,Electronics,Online,Not Returned,Royal Mail,Rome,Low,175.9175,167.8875,305.25,Saturday,January
903591,SKU_1022,T-shirt,5,2020-01-04 1:00,94.77,55936,Portugal,0.13,Bank Transfer,19.81,Electronics,Online,Not Returned,Royal Mail,Rome,Low,432.0595,412.2495,473.85,Saturday,January
996942,SKU_1292,White Mug,43,2020-01-04 2:00,15.02,34933,Australia,0.02,Credit Card,18.34,Furniture,Online,Not Returned,UPS,Berlin,High,651.2828,632.9428,645.86,Saturday,January
206530,SKU_1266,Notebook,23,2020-01-04 3:00,24.56,14443,Sweden,0.32,paypall,14.23,Stationery,Online,Not Returned,Royal Mail,London,Low,398.3484,384.1184,564.88,Saturday,January
704365,SKU_1528,Office Chair,14,2020-01-04 4:00,66.41,16761,United Kingdom,0.22,paypall,22.68,Furniture,Online,Not Returned,Royal Mail,Amsterdam,High,747.8772,725.1972,929.74,Saturday,January
922352,SKU_1475,White Mug,49,2020-01-04 5:00,49.41,80434,United Kingdom,0.38,Bank Transfer,8.8,Stationery,In-store,Not Returned,Royal Mail,London,Low,1509.8758,1501.0758,2421.09,Saturday,January
560337,SKU_1951,Blue Pen,39,2020-01-04 6:00,36.99,83214,Belgium,0.38,paypall,20.06,Accessories,In-store,Not Returned,DHL,Rome,Medium,914.4782,894.4182,1442.61,Saturday,January
824839,SKU_1948,Blue Pen,7,2020-01-04 7:00,36.14,48511,United States,0.34,Bank Transfer,6.87,Furniture,In-store,Not Returned,UPS,Amsterdam,Medium,173.8368,166.9668,252.98,Saturday,January
905889,SKU_1450,Backpack,35,2020-01-04 8:00,30.82,53228,Italy,0.03,Credit Card,8.87,Furniture,Online,Returned,FedEx,Paris,Low,1055.209,1046.339,1078.7,Saturday,January
559773,SKU_1897,Wireless Mouse,38,2020-01-04 9:00,81.28,42562,Sweden,0.18,paypall,27.77,Furniture,In-store,Not Returned,DHL,Amsterdam,High,2560.4548,2532.6848,3088.64,Saturday,January
308261,SKU_1284,Headphones,14,2020-01-04 10:00,36.13,96452,Italy,0.34,Credit Card,14.95,Apparel,In-store,Returned,DHL,Berlin,Low,348.7912,333.8412,505.82,Saturday,January
864469,SKU_1312,USB Cable,17,2020-01-04 11:00,8.62,35193,Belgium,0.13,paypall,19.11,Stationery,Online,Not Returned,FedEx,Amsterdam,Low,146.5998,127.4898,146.54,Saturday,January
441097,SKU_1161,T-shirt,7,2020-01-04 12:00,15.96,30966,United Kingdom,0.28,paypall,23.88,Electronics,Online,Not Returned,DHL,Paris,High,104.3184,80.4384,111.72,Saturday,January
415139,SKU_1589,USB Cable,20,2020-01-04 13:00,49.92,62514,Germany,0.4,Bank Transfer,8.34,Electronics,Online,Not Returned,Royal Mail,Rome,Low,607.38,599.04,998.4,Saturday,January
271829,SKU_1121,T-shirt,34,2020-01-04 14:00,13.63,61596,Norway,0.08,Bank Transfer,24.2,Stationery,Online,Not Returned,DHL,Berlin,Low,450.5464,426.3464,463.42,Saturday,January
371836,SKU_1480,T-shirt,30,2020-01-04 15:00,83.42,62583,United Kingdom,0.45,Bank Transfer,5.92,Electronics,Online,Not Returned,UPS,Paris,Low,1382.35,1376.43,2502.6,Saturday,January
538974,SKU_1111,Wireless Mouse,40,2020-01-04 16:00,91.57,82963,Norway,0.35,paypall,29.97,Accessories,In-store,Not Returned,FedEx,London,High,2410.79,2380.82,3662.8,Saturday,January
302283,SKU_1238,T-shirt,13,2020-01-04 17:00,7.54,89681,Belgium,0.38,Credit Card,26.46,Stationery,In-store,Not Returned,Royal Mail,Rome,Low,87.2324,60.7724,98.02,Saturday,January
296769,SKU_1209,White Mug,6,2020-01-04 18:00,87.27,79200,Belgium,0.08,paypall,22.59,Electronics,Online,Not Returned,DHL,Paris,Low,504.3204,481.7304,523.62,Saturday,January
661353,SKU_1348,White Mug,27,2020-01-04 19:00,68.95,28796,United States,0.45,Bank Transfer,18.1,Stationery,Online,Not Returned,UPS,Amsterdam,Medium,1042.0075,1023.9075,1861.65,Saturday,January
323165,SKU_1510,Backpack,18,2020-01-04 20:00,33.22,76428,France,0.22,Bank Transfer,24.77,Stationery,Online,Not Returned,Royal Mail,Rome,Medium,491.1788,466.4088,597.96,Saturday,January
723587,SKU_1001,Blue Pen,24,2020-01-04 21:00,25.98,46156,Italy,0.13,Bank Transfer,16.68,Furniture,Online,Not Returned,FedEx,Amsterdam,Medium,559.1424,542.4624,623.52,Saturday,January
635822,SKU_1891,Office Chair,32,2020-01-04 22:00,41.15,97271,United Kingdom,0.4,Credit Card,7.7,Accessories,Online,Not Returned,DHL,Berlin,High,797.78,790.08,1316.8,Saturday,January
587879,SKU_1714,Wall Clock,39,2020-01-04 23:00,60.36,90167,Sweden,0.07,Bank Transfer,24.41,Apparel,In-store,Not Returned,UPS,Rome,High,2213.6672,2189.2572,2354.04,Saturday,January
664685,SKU_1798,Backpack,26,2020-01-05 0:00,24.81,95325,Germany,0.4,Credit Card,26.82,Apparel,In-store,Returned,Royal Mail,Rome,Medium,413.856,387.036,645.06,Sunday,January
882038,SKU_1628,White Mug,34,2020-01-05 1:00,88.14,41384,Netherlands,0.07,Bank Transfer,12.45,Furniture,Online,Not Returned,UPS,London,High,2799.4368,2786.9868,2996.76,Sunday,January
453531,SKU_1880,Wall Clock,21,2020-01-05 2:00,3.75,84562,Portugal,0.02,Bank Transfer,16.33,Electronics,In-store,Not Returned,DHL,Berlin,Low,93.505,77.175,78.75,Sunday,January
363160,SKU_1460,USB Cable,28,2020-01-05 3:00,7.96,97931,Portugal,0.35,Bank Transfer,6.64,Furniture,Online,Not Returned,FedEx,London,Low,151.512,144.872,222.88,Sunday,January
679879,SKU_1811,Backpack,5,2020-01-05 4:00,48.24,14493,Belgium,0.18,paypall,6.68,Stationery,Online,Not Returned,DHL,Amsterdam,Medium,204.464,197.784,241.2,Sunday,January
320884,SKU_1894,Office Chair,42,2020-01-05 5:00,34.93,71731,France,0.41,paypall,17.4,Accessories,Online,Not Returned,Royal Mail,London,High,882.9654,865.5654,1467.06,Sunday,January
123247,SKU_1857,T-shirt,18,2020-01-05 6:00,31.83,60583,France,0.42,Credit Card,27.47,Apparel,Online,Returned,FedEx,Paris,High,359.7752,332.3052,572.94,Sunday,January
124300,SKU_1951,Headphones,8,2020-01-05 7:00,46.19,Unknown,Norway,0.1,Bank Transfer,12.81,Stationery,In-store,Not Returned,UPS,,High,345.378,332.568,369.52,Sunday,January
567281,SKU_1481,T-shirt,43,2020-01-05 8:00,57.77,97562,United States,0.1,Credit Card,11.1,Furniture,Online,Not Returned,FedEx,Amsterdam,Low,2246.799,2235.699,2484.11,Sunday,January
707086,SKU_1949,Notebook,48,2020-01-05 9:00,15.68,90838,Portugal,0.23,Credit Card,8.83,Apparel,In-store,Not Returned,DHL,London,High,588.3628,579.5328,752.64,Sunday,January
633556,SKU_1948,USB Cable,34,2020-01-05 10:00,85.06,64838,United Kingdom,0.01,Bank Transfer,29.98,Accessories,In-store,Not Returned,DHL,Amsterdam,Medium,2893.0996,2863.1196,2892.04,Sunday,January
448951,SKU_1625,White Mug,22,2020-01-05 11:00,35.03,30725,France,0.24,Bank Transfer,8.25,Furniture,Online,Not Returned,DHL,Amsterdam,Low,593.9516,585.7016,770.66,Sunday,January
374329,SKU_1585,Blue Pen,23,2020-01-05 12:00,49.73,59407,Italy,0.31,Credit Card,26.62,Electronics,Online,Not Returned,Royal Mail,Rome,High,815.8351,789.2151,1143.79,Sunday,January
819064,SKU_1971,Headphones,9,2020-01-05 13:00,57.1,90824,Sweden,0.01,Bank Transfer,11.88,Accessories,Online,Not Returned,Royal Mail,Amsterdam,Low,520.641,508.761,513.9,Sunday,January
842139,SKU_1240,Wireless Mouse,27,2020-01-05 14:00,65.17,96508,Norway,0.12,paypall,28.59,Apparel,In-store,Returned,UPS,Rome,High,1577.0292,1548.4392,1759.59,Sunday,January
532315,SKU_1981,Backpack,14,2020-01-05 15:00,12.16,70672,Norway,0.2,Bank Transfer,12.57,Apparel,In-store,Not Returned,FedEx,Amsterdam,Medium,148.762,136.192,170.24,Sunday,January
616588,SKU_1813,USB Cable,20,2020-01-05 16:00,84.61,19020,Norway,0.26,Bank Transfer,11.7,Stationery,In-store,Not Returned,FedEx,Paris,High,1263.928,1252.228,1692.2,Sunday,January
336584,SKU_1053,Notebook,26,2020-01-05 17:00,7.36,90743,Germany,0.05,paypall,29.14,Apparel,In-store,Not Returned,UPS,London,Low,210.932,181.792,191.36,Sunday,January
662332,SKU_1670,Wireless Mouse,41,2020-01-05 18:00,22.68,64659,Netherlands,0.15,Bank Transfer,20.14,Stationery,Online,Not Returned,FedEx,Berlin,Medium,810.538,790.398,929.88,Sunday,January
937646,SKU_1466,Wireless Mouse,7,2020-01-05 19:00,10.74,90633,United Kingdom,0.44,Bank Transfer,17.3,Accessories,In-store,Not Returned,DHL,Rome,Low,59.4008,42.1008,75.18,Sunday,January
476896,SKU_1108,Blue Pen,24,2020-01-05 20:00,76.55,54727,United States,0,paypall,8.27,Accessories,Online,Not Returned,UPS,London,Medium,1845.47,1837.2,1837.2,Sunday,January
148984,SKU_1279,White Mug,9,2020-01-05 21:00,71.63,10961,Belgium,0.47,Bank Transfer,19.95,Apparel,In-store,Not Returned,UPS,London,High,361.6251,341.6751,644.67,Sunday,January
402918,SKU_1664,Blue Pen,43,2020-01-05 22:00,30.59,66873,Belgium,0.2,paypall,10.32,Stationery,Online,Returned,UPS,London,High,1062.616,1052.296,1315.37,Sunday,January
364712,SKU_1674,Office Chair,7,2020-01-05 23:00,78.42,25714,Norway,0.05,Bank Transfer,26.71,Stationery,Online,Not Returned,DHL,Rome,Low,548.203,521.493,548.94,Sunday,January
220151,SKU_1056,Wireless Mouse,37,2020-01-06 0:00,91,33058,Italy,0.42,paypall,11.14,Apparel,In-store,Not Returned,Royal Mail,Paris,High,1964,1952.86,3367,Monday,January
555808,SKU_1839,Notebook,4,2020-01-06 1:00,19.27,83367,France,0.07,Credit Card,25.98,Accessories,Online,Not Returned,DHL,Amsterdam,Low,97.6644,71.6844,77.08,Monday,January
233767,SKU_1836,Wall Clock,11,2020-01-06 2:00,37.38,15608,Sweden,0.02,Credit Card,8.95,Electronics,In-store,Not Returned,FedEx,Amsterdam,Low,411.9064,402.9564,411.18,Monday,January
748663,SKU_1213,Headphones,4,2020-01-06 3:00,53.39,49169,Netherlands,0.5,Bank Transfer,8.56,Furniture,Online,Not Returned,FedEx,Berlin,Medium,115.34,106.78,213.56,Monday,January
803550,SKU_1507,White Mug,28,2020-01-06 4:00,31.18,70906,Spain,0.38,Bank Transfer,6.1,Stationery,In-store,Not Returned,Royal Mail,Berlin,High,547.3848,541.2848,873.04,Monday,January
236330,SKU_1027,Backpack,49,2020-01-06 5:00,66.8,39946,Netherlands,0.36,Bank Transfer,11.84,Stationery,Online,Not Returned,FedEx,Rome,High,2106.688,2094.848,3273.2,Monday,January
580754,SKU_1203,Wall Clock,27,2020-01-06 6:00,83.54,67934,Netherlands,0.33,Credit Card,9.51,Stationery,In-store,Not Returned,DHL,London,Medium,1520.7486,1511.2386,2255.58,Monday,January
401648,SKU_1544,Headphones,17,2020-01-06 7:00,73.34,30303,Norway,0.23,paypall,9.78,Furniture,In-store,Not Returned,Royal Mail,London,Medium,969.8006,960.0206,1246.78,Monday,January
788519,SKU_1308,Notebook,40,2020-01-06 8:00,94.43,62272,United States,0.29,paypall,10.59,Apparel,In-store,Not Returned,Royal Mail,Rome,Low,2692.402,2681.812,3777.2,Monday,January
113986,SKU_1633,T-shirt,6,2020-01-06 9:00,39.39,43069,United Kingdom,0.29,Bank Transfer,9.85,Electronics,In-store,Not Returned,DHL,Rome,Medium,177.6514,167.8014,236.34,Monday,January
686146,SKU_1527,USB Cable,17,2020-01-06 10:00,19.05,25812,France,0.02,Bank Transfer,11.25,Accessories,In-store,Not Returned,Royal Mail,Rome,Low,328.623,317.373,323.85,Monday,January
229312,SKU_1665,Headphones,43,2020-01-06 11:00,87.12,78376,Germany,0.45,Bank Transfer,18.17,Electronics,In-store,Not Returned,UPS,London,Low,2078.558,2060.388,3746.16,Monday,January
112666,SKU_1907,T-shirt,12,2020-01-06 12:00,98.82,63965,Germany,0.25,paypall,5.34,Apparel,In-store,Not Returned,FedEx,Rome,High,894.72,889.38,1185.84,Monday,January
400804,SKU_1342,Desk Lamp,40,2020-01-06 13:00,45.27,58575,France,0.08,paypall,21.25,Apparel,In-store,Not Returned,UPS,Berlin,Low,1687.186,1665.936,1810.8,Monday,January
234633,SKU_1217,White Mug,1,2020-01-06 14:00,19.89,55924,Australia,0.28,Bank Transfer,13.87,Stationery,Online,Not Returned,FedEx,Paris,High,28.1908,14.3208,19.89,Monday,January
388998,SKU_1616,Desk Lamp,29,2020-01-06 15:00,29.51,52354,Australia,0.43,paypall,19.15,Accessories,In-store,Not Returned,UPS,Berlin,Medium,506.9503,487.8003,855.79,Monday,January
